scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1587.5367622608462,3563.6875,0.0,1630.9375,5194.625,1586.6168516188284,1557.6945223625087,1565.5394973665548,accuracy21
1e-05,1592.475766266476,3506.5,0.0,1676.0625,5182.5625,1585.75914270161,1557.90447492187,1591.363981525157,accuracy21
0.0001,1582.7312695446867,3552.4375,0.0,1630.5625,5183.0,1595.2837653954673,1561.5161515913692,1584.738953199049,accuracy21
0.001,1577.7390823611925,3499.8125,0.0,1681.5625,5181.375,1578.9517827133236,1557.709335509163,1573.6372811431931,accuracy21
0.01,1504.2877096734107,3562.9375,0.0,1620.4375,5183.375,1514.5642084982671,1496.8434784295987,1526.8785677176552,accuracy21
0.1,1404.255177932435,3443.0625,0.0,1752.8125,5195.875,1414.3103519725132,1367.3020280724897,1418.222983883129,accuracy21
1.0,1279.3214147826257,3366.3125,0.0,1884.3125,5250.625,1273.2000324820763,1251.284289041234,1296.2081140304056,accuracy21
10.0,1238.3224703370258,2596.875,0.0,242.6875,2839.5625,1239.5033654795586,1227.6831401256911,1245.6887674008794,accuracy21
100.0,1108.6236982355135,0.0625,0.0,0.0,0.0625,1143.360597848633,892.9412612108424,1187.0881758925373,accuracy21
1000.0,440.3721217475896,0.0,0.0,0.0,0.0,476.1814201144504,402.73896339797784,558.2286736948489,accuracy21
0.0,1586.6168516188284,3645.375,0.0,1613.8125,5259.1875,1586.6168516188284,1557.6945223625087,1565.5394973665548,accuracy21
1e-05,1585.75914270161,3533.0625,0.0,1651.875,5184.9375,1585.75914270161,1557.90447492187,1591.363981525157,accuracy21
0.0001,1595.2837653954673,3527.1875,0.0,1663.5625,5190.75,1595.2837653954673,1561.5161515913692,1584.738953199049,accuracy21
0.001,1578.9517827133236,3517.875,0.0,1667.8125,5185.6875,1578.9517827133236,1557.709335509163,1573.6372811431931,accuracy21
0.01,1514.5642084982671,3561.3125,0.0,1650.0,5211.3125,1514.5642084982671,1496.8434784295987,1526.8785677176552,accuracy21
0.1,1414.3103519725132,3435.25,0.0,1749.5625,5184.8125,1414.3103519725132,1367.3020280724897,1418.222983883129,accuracy21
1.0,1273.2000324820763,3318.0,0.0,1863.0,5181.0,1273.2000324820763,1251.284289041234,1296.2081140304056,accuracy21
10.0,1239.5033654795586,2538.125,0.0,344.5625,2882.6875,1239.5033654795586,1227.6831401256911,1245.6887674008794,accuracy21
100.0,1143.360597848633,1.0625,0.0,1.625,2.6875,1143.360597848633,892.9412612108424,1187.0881758925373,accuracy21
1000.0,476.1814201144504,0.0,0.0,0.1875,0.1875,476.1814201144504,402.73896339797784,558.2286736948489,accuracy21
0.0,1557.6945223625087,3539.0625,0.0,1648.375,5187.4375,1586.6168516188284,1557.6945223625087,1565.5394973665548,accuracy21
1e-05,1557.90447492187,3547.5625,0.0,1635.0625,5182.625,1585.75914270161,1557.90447492187,1591.363981525157,accuracy21
0.0001,1561.5161515913692,3493.3125,0.0,1691.4375,5184.75,1595.2837653954673,1561.5161515913692,1584.738953199049,accuracy21
0.001,1557.709335509163,3547.25,0.0,1639.25,5186.5,1578.9517827133236,1557.709335509163,1573.6372811431931,accuracy21
0.01,1496.8434784295987,3587.5625,0.0,1650.875,5238.4375,1514.5642084982671,1496.8434784295987,1526.8785677176552,accuracy21
0.1,1367.3020280724897,3402.5,0.0,1822.125,5224.625,1414.3103519725132,1367.3020280724897,1418.222983883129,accuracy21
1.0,1251.284289041234,3329.375,0.0,1850.25,5179.625,1273.2000324820763,1251.284289041234,1296.2081140304056,accuracy21
10.0,1227.6831401256911,0.0,0.0,0.0,0.0,1239.5033654795586,1227.6831401256911,1245.6887674008794,accuracy21
100.0,892.9412612108424,0.0625,0.0,0.0,0.0625,1143.360597848633,892.9412612108424,1187.0881758925373,accuracy21
1000.0,402.73896339797784,0.0,0.0,0.0,0.0,476.1814201144504,402.73896339797784,558.2286736948489,accuracy21
0.0,1565.5394973665548,3531.125,0.0,1669.875,5201.0,1586.6168516188284,1557.6945223625087,1565.5394973665548,accuracy21
1e-05,1591.363981525157,3496.8125,0.0,1685.625,5182.4375,1585.75914270161,1557.90447492187,1591.363981525157,accuracy21
0.0001,1584.738953199049,3552.9375,0.0,1639.5,5192.4375,1595.2837653954673,1561.5161515913692,1584.738953199049,accuracy21
0.001,1573.6372811431931,3554.25,0.0,1644.4375,5198.6875,1578.9517827133236,1557.709335509163,1573.6372811431931,accuracy21
0.01,1526.8785677176552,3542.125,0.0,1642.1875,5184.3125,1514.5642084982671,1496.8434784295987,1526.8785677176552,accuracy21
0.1,1418.222983883129,3536.25,0.0,1709.5,5245.75,1414.3103519725132,1367.3020280724897,1418.222983883129,accuracy21
1.0,1296.2081140304056,3335.5625,0.0,1858.3125,5193.875,1273.2000324820763,1251.284289041234,1296.2081140304056,accuracy21
10.0,1245.6887674008794,3277.375,0.0,1916.5625,5193.9375,1239.5033654795586,1227.6831401256911,1245.6887674008794,accuracy21
100.0,1187.0881758925373,2072.5625,0.0,61.625,2134.1875,1143.360597848633,892.9412612108424,1187.0881758925373,accuracy21
1000.0,558.2286736948489,1.8125,0.0,20.1875,22.0,476.1814201144504,402.73896339797784,558.2286736948489,accuracy21
