scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1613.9858501878834,3733.0,0.0,1450.25,5183.25,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1613.4982738961332,3581.625,0.0,1610.3125,5191.9375,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1593.0860030137108,3614.6875,0.0,1588.0625,5202.75,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1623.3208579300801,3622.625,0.0,1561.6875,5184.3125,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1517.2597082893521,3725.5,0.0,1456.25,5181.75,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1425.0452501269417,3483.25,0.0,1701.5625,5184.8125,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1294.1148747983455,3234.9375,0.0,1947.375,5182.3125,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1261.4245912827935,3096.5,0.0,241.875,3338.375,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1116.5478617618546,0.5,0.0,1.0,1.5,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,456.7146719987471,0.0,0.0,2.5625,2.5625,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1610.0825195901195,3700.25,0.0,1580.125,5280.375,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1594.0378066572641,3606.875,0.0,1594.5625,5201.4375,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1632.0736659043757,3744.6875,0.0,1436.5,5181.1875,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1574.661037399723,3718.3125,0.0,1464.0,5182.3125,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1554.5742197182822,3638.5,0.0,1545.875,5184.375,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1432.4860164162976,3593.1875,0.0,1591.125,5184.3125,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1299.3335128849656,3293.3125,0.0,1889.5625,5182.875,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1268.7117663566294,3211.4375,0.0,1971.4375,5182.875,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1143.9200162889654,0.375,0.0,0.5625,0.9375,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,502.4886699976804,0.125,0.0,1.3125,1.4375,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1613.9858501878834,3733.0,0.0,1450.25,5183.25,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1636.8426056204962,3643.875,0.0,1541.375,5185.25,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1606.0732295457335,3687.3125,0.0,1494.25,5181.5625,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1517.1902135521016,3828.25,0.0,1352.875,5181.125,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1518.3088709928952,3651.8125,0.0,1529.375,5181.1875,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1405.7787992570295,3464.75,0.0,1774.5,5239.25,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1279.2886869562824,3162.0,0.0,1139.75,4301.75,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1246.4117840942877,3226.0,0.0,176.9375,3402.9375,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,918.6460122119993,0.625,0.0,0.3125,0.9375,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,418.58272577962214,0.0,0.0,0.0,0.0,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1633.7129853120157,3724.625,0.0,1457.1875,5181.8125,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1595.621608648304,3619.1875,0.0,1585.1875,5204.375,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1604.4330606585245,3586.375,0.0,1598.5625,5184.9375,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1634.1489641210983,3610.4375,0.0,1627.8125,5238.25,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1571.2239576570664,3612.9375,0.0,1570.3125,5183.25,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1423.398942433093,3684.375,0.0,1498.5625,5182.9375,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1335.5990961173718,3315.9375,0.0,1890.4375,5206.375,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1274.131838136111,3204.4375,0.0,1979.375,5183.8125,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1180.5979691766631,24.125,0.0,19.0625,43.1875,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,580.9454211765172,0.25,0.0,6.9375,7.1875,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
