scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1613.9858501878834,3732.75,0.0,1446.8125,5179.5625,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1613.4982738961332,3576.3125,0.0,1603.4375,5179.75,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1593.0860030137108,3602.125,0.0,1577.625,5179.75,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1623.3208579300801,3621.8125,0.0,1557.9375,5179.75,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1517.2597082893521,3725.375,0.0,1454.375,5179.75,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1425.0452501269417,3481.875,0.0,1697.6875,5179.5625,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1294.1148747983455,1902.5625,0.0,188.6875,2091.25,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1261.4245912827935,0.0,0.0,0.0,0.0,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1116.5478617618546,0.0,0.0,0.0,0.0,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,456.7146719987471,0.0,0.0,0.0,0.0,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1610.0825195901195,3618.75,0.0,1561.0625,5179.8125,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1594.0378066572641,3595.0,0.0,1584.75,5179.75,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1632.0736659043757,3744.625,0.0,1434.9375,5179.5625,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1574.661037399723,3717.75,0.0,1462.0,5179.75,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1554.5742197182822,3636.375,0.0,1543.4375,5179.8125,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1432.4860164162976,3592.3125,0.0,1587.375,5179.6875,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1299.3335128849656,2488.75,0.0,717.9375,3206.6875,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1268.7117663566294,0.0,0.0,0.0,0.0,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1143.9200162889654,0.0,0.0,0.0,0.0,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,502.4886699976804,0.0,0.0,0.0,0.0,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1613.9858501878834,3732.75,0.0,1446.8125,5179.5625,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1636.8426056204962,3642.25,0.0,1537.5,5179.75,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1606.0732295457335,3687.0625,0.0,1492.5625,5179.625,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1517.1902135521016,3827.5,0.0,1350.8125,5178.3125,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1518.3088709928952,3651.6875,0.0,1528.125,5179.8125,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1405.7787992570295,3421.1875,0.0,1758.4375,5179.625,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1279.2886869562824,0.0,0.0,0.0,0.0,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1246.4117840942877,0.125,0.0,0.0,0.125,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,918.6460122119993,0.0,0.0,0.0,0.0,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,418.58272577962214,0.0,0.0,0.0,0.0,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
0.0,1633.7129853120157,3724.375,0.0,1455.375,5179.75,1610.0825195901195,1613.9858501878834,1633.7129853120157,accuracy31
1e-05,1595.621608648304,3605.625,0.0,1574.125,5179.75,1594.0378066572641,1636.8426056204962,1595.621608648304,accuracy31
0.0001,1604.4330606585245,3584.125,0.0,1594.5,5178.625,1632.0736659043757,1606.0732295457335,1604.4330606585245,accuracy31
0.001,1634.1489641210983,3569.1875,0.0,1610.5625,5179.75,1574.661037399723,1517.1902135521016,1634.1489641210983,accuracy31
0.01,1571.2239576570664,3612.25,0.0,1567.375,5179.625,1554.5742197182822,1518.3088709928952,1571.2239576570664,accuracy31
0.1,1423.398942433093,3683.9375,0.0,1495.75,5179.6875,1432.4860164162976,1405.7787992570295,1423.398942433093,accuracy31
1.0,1335.5990961173718,3299.4375,0.0,1862.6875,5162.125,1299.3335128849656,1279.2886869562824,1335.5990961173718,accuracy31
10.0,1274.131838136111,0.0,0.0,0.0,0.0,1268.7117663566294,1246.4117840942877,1274.131838136111,accuracy31
100.0,1180.5979691766631,0.0,0.0,0.0,0.0,1143.9200162889654,918.6460122119993,1180.5979691766631,accuracy31
1000.0,580.9454211765172,0.0,0.0,0.0,0.0,502.4886699976804,418.58272577962214,580.9454211765172,accuracy31
