scenario,MC charger,usc_count_charge,usc_count_idle,usc_count_discharge,usc_count_total,MC discharger,MC store,MC renewables,scenario
0.0,1612.7053138587441,3824.25,0.0,1356.8125,5181.0625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1618.7676605024,3806.9375,0.0,1374.3125,5181.25,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1617.1351070086298,3783.0625,0.0,1398.0625,5181.125,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1517.2591178502266,3840.25,0.0,1340.8125,5181.0625,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1393.643822324587,3758.25,0.0,1422.9375,5181.1875,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1293.0948309910582,3483.5625,0.0,1697.5,5181.0625,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1264.0793639792846,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1244.892851060316,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1107.296394049507,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,457.59923566308385,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1602.3391169062263,3821.6875,0.0,1359.5,5181.1875,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1621.2198835834347,3779.8125,0.0,1401.3125,5181.125,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1591.2446983757545,3808.8125,0.0,1372.3125,5181.125,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1547.2657503598632,3787.6875,0.0,1393.5,5181.1875,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1424.1276822213192,3807.5625,0.0,1373.5625,5181.125,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1302.6565110487004,3497.25,0.0,1683.8125,5181.0625,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1267.358764263151,3270.1875,0.0,1349.1875,4619.375,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1248.6690739468625,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1136.7911871824656,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,501.44561239581856,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1614.0586982329178,3841.875,0.0,1339.1875,5181.0625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1617.7644451912192,3821.5625,0.0,1359.6875,5181.25,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1577.868790181613,3830.1875,0.0,1350.875,5181.0625,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1454.551299969653,3828.0,0.0,1353.125,5181.125,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1349.755759370876,3750.0,0.0,1431.0625,5181.0625,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1279.422149709121,3440.0,0.0,1740.75,5180.75,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1261.320266849368,0.0,0.0,0.0,0.0,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1229.3701241124247,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,912.1934684763273,0.0,0.0,0.0,0.0,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,414.7420980628265,0.0,0.0,0.0,0.0,501.44561239581856,414.7420980628265,566.8573703118304,base1
0.0,1612.7053138587441,3824.25,0.0,1356.8125,5181.0625,1602.3391169062263,1614.0586982329178,1612.7053138587441,base1
1e-05,1611.4927098550286,3813.6875,0.0,1367.375,5181.0625,1621.2198835834347,1617.7644451912192,1611.4927098550286,base1
0.0001,1589.831717529617,3841.0,0.0,1340.0625,5181.0625,1591.2446983757545,1577.868790181613,1589.831717529617,base1
0.001,1540.9500181933001,3792.0625,0.0,1389.0625,5181.125,1547.2657503598632,1454.551299969653,1540.9500181933001,base1
0.01,1397.1371908634394,3826.1875,0.0,1354.875,5181.0625,1424.1276822213192,1349.755759370876,1397.1371908634394,base1
0.1,1320.0318266744857,3605.125,0.0,1575.9375,5181.0625,1302.6565110487004,1279.422149709121,1320.0318266744857,base1
1.0,1266.7509479456874,23.6875,0.0,16.625,40.3125,1267.358764263151,1261.320266849368,1266.7509479456874,base1
10.0,1253.9243099899618,0.0,0.0,0.0,0.0,1248.6690739468625,1229.3701241124247,1253.9243099899618,base1
100.0,1171.1753301583597,0.1875,0.0,0.25,0.4375,1136.7911871824656,912.1934684763273,1171.1753301583597,base1
1000.0,566.8573703118304,0.625,0.0,15.8125,16.4375,501.44561239581856,414.7420980628265,566.8573703118304,base1
